run,tag,step,value,wall_time
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3555328,8183.41015625,1767094989.3163533
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3571712,8283.1201171875,1767095037.9658024
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3588096,8224.4296875,1767095087.2241335
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3604480,8211.490234375,1767095133.9415967
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3620864,8207.6201171875,1767095181.295714
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3637248,8227.419921875,1767095231.2205467
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3653632,8229.6396484375,1767095276.8397553
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3670016,8198.3203125,1767095324.6982055
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3686400,8206.4404296875,1767095371.724232
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3702784,8074.2900390625,1767095421.798482
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3719168,8099.72021484375,1767095467.7451541
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3735552,8043.18017578125,1767095515.379935
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3751936,7950.43017578125,1767095563.352798
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3768320,7891.9501953125,1767095608.9977062
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3784704,7920.14013671875,1767095656.4324465
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3801088,7979.669921875,1767095703.1028268
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3817472,8000.7001953125,1767095751.8901424
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3833856,7979.990234375,1767095797.834605
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3850240,7989.47021484375,1767095849.68894
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3866624,7939.240234375,1767095897.2968178
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3883008,7954.2900390625,1767095947.8070843
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3899392,7971.2099609375,1767096002.8572843
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3915776,7984.419921875,1767096056.4731312
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3932160,7961.7001953125,1767096109.9228644
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3948544,7980.56982421875,1767096159.0184166
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3964928,7950.240234375,1767096210.9082148
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3981312,7883.47998046875,1767096261.852872
